# Fundamental-mode classical Cepheids in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2015 (Acta Astronomica 65, 297), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/65/297 tables lmccep/smccep for the periods and
#   mean magnitudes and lmcident/smcident for the positions. Downloaded 2026-08-17.
#
# 2315 LMC and 2637 SMC stars: every star the catalogue marks as pulsating in
#   the fundamental mode (Mode = F) with both a mean V and a mean I magnitude. First
#   overtone and multi-mode Cepheids are left out — they follow their own, offset
#   period-luminosity relation and would double the ridge.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum light
#   (HJD - 2450000), carried so a light curve can be folded on the same convention.
# mean_v_mag and mean_i_mag are intensity-mean magnitudes, not averaged magnitudes,
#   and they are apparent: no extinction correction has been applied here. The
#   Wesenheit index I - 1.55 (V - I), which is what makes the relation tight, is
#   derived in the scene rather than stored, so the correction stays visible.
# i_amplitude_mag is the peak-to-peak I-band amplitude.
cloud,star,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag,ra_deg,dec_deg
LMC,OGLE-LMC-CEP-0337,2.8804884,6000.43795,16.575,15.746,0.485,73.661458,-68.610444
LMC,OGLE-LMC-CEP-0345,2.6688213,6001.89735,17.168,16.180,0.237,73.706708,-69.241639
LMC,OGLE-LMC-CEP-0346,3.0464436,6001.10522,16.879,15.871,0.389,73.708958,-69.236750
LMC,OGLE-LMC-CEP-0349,3.0398829,6001.19878,16.878,15.939,0.419,73.717958,-69.244500
LMC,OGLE-LMC-CEP-0350,2.8744721,6000.75627,16.861,15.936,0.347,73.718833,-69.174417
LMC,OGLE-LMC-CEP-0351,3.5008894,6001.33874,16.694,15.734,0.329,73.719750,-69.233944
LMC,OGLE-LMC-CEP-0352,3.5263615,6000.76829,15.999,15.222,0.474,73.725167,-68.541639
LMC,OGLE-LMC-CEP-0353,3.5672274,6002.80245,15.817,15.161,0.500,73.726042,-67.226694
LMC,OGLE-LMC-CEP-0354,2.2412003,6000.40803,16.484,15.804,0.457,73.727458,-68.862306
LMC,OGLE-LMC-CEP-0356,12.6841678,6002.75703,14.598,13.694,0.683,73.730667,-70.256333
LMC,OGLE-LMC-CEP-0357,4.3808522,6000.07439,15.908,15.137,0.408,73.731875,-68.940306
LMC,OGLE-LMC-CEP-0359,6.5464426,6001.25358,15.326,14.530,0.329,73.752000,-67.244528
LMC,OGLE-LMC-CEP-0360,22.0859031,6007.04540,14.390,13.394,0.552,73.755167,-69.672250
LMC,OGLE-LMC-CEP-0361,2.9203009,6002.24040,16.238,15.512,0.494,73.755583,-70.180056
LMC,OGLE-LMC-CEP-0362,3.0249176,6002.01348,16.187,15.452,0.460,73.755958,-71.037389
LMC,OGLE-LMC-CEP-0364,2.3302673,6001.81206,16.534,15.808,0.551,73.757708,-68.755944
LMC,OGLE-LMC-CEP-0365,1.1606889,6000.80056,17.319,16.663,0.351,73.758917,-67.999861
