# ATNF Pulsar Catalogue periods and characteristic ages.
# Source: Manchester, Hobbs, Teoh & Hobbs 2005, AJ 129, 1993,
#   VizieR B/psr (CDS catalogue B/psr).
#   https://cdsarc.cds.unistra.fr/viz-bin/cat/B/psr
# Downloaded 2026-08-17 via VizieR Harvard.
#
# One row per pulsar that has both a barycentric period P0 and a
#   characteristic age Age = P/(2Pdot). Pulsars without a measured
#   spin-down are omitted. VizieR B/psr does not publish Pdot as a
#   column; the film recovers it as P / (2 tau).
# Age is in years as tabulated. Edot is the catalogue spin-down
#   luminosity in erg/s. dm_pc_cm3 and distance_kpc are blank when
#   the catalogue has no value.
# This is the 2005 VizieR snapshot, not a live ATNF query.
jname,period_s,dm_pc_cm3,distance_kpc,age_yr,edot_erg_s
J0924-5302,0.74629520954000,152.900000,5.61,333000.0,3.400e+33
J0924-5814,0.73950132654000,57.400000,1.87,2400000.0,4.800e+32
J0931-1902,0.00463802939121,41.500000,3.63,18000000000.0,1.600e+33
J0932-3217,1.93162674308000,102.100000,3.84,122000000.0,1.400e+30
J0932-5327,4.39215871270000,122.000000,3.91,8310000.0,3.900e+30
J0934-4154,0.57040923643000,113.790000,3.20,33600000.0,5.700e+31
J0934-5249,1.44477320982000,100.000000,2.93,4920000.0,6.100e+31
J0940-5428,0.08754520430800,134.500000,4.27,42200.0,1.900e+36
J0941-5244,0.65855761432000,157.940000,5.64,9170000.0,1.600e+32
J0942-5552,0.66436748807000,180.200000,0.30,461000.0,3.100e+33
J0942-5657,0.80812741714200,159.740000,5.02,323000.0,3.000e+33
J0943+1631,1.08741772807100,20.320000,1.76,189000000.0,2.800e+30
J0944-1354,0.57026412456190,12.497000,0.69,200000000.0,9.600e+30
J0945-4833,0.33158559877550,98.100000,2.71,1090000.0,5.200e+33
J0946+0951,1.09770570486000,15.334000,0.96,4980000.0,1.000e+32
J0949-6902,0.64001572416000,93.000000,8.68,15900000.0,9.600e+31
J0952-3839,1.37381512140000,167.000000,8.44,37500000.0,8.800e+30
J0953+0755,0.25306516494820,2.969270,0.26,17500000.0,5.600e+32
J0954-5430,0.47283427926600,200.300000,6.20,171000.0,1.600e+34
J0955-5304,0.86211773933000,156.900000,4.87,3880000.0,2.200e+32
J0957-5432,0.20355669753600,226.100000,7.00,1660000.0,9.100e+33
J0959-4809,0.67008576040000,92.700000,2.96,129000000.0,1.100e+31
J1000-5149,0.25567709842520,72.800000,2.33,4220000.0,2.300e+33
J1001-5507,1.43658262920000,130.320000,0.30,443000.0,6.800e+32
J1001-5559,1.66117674023000,159.300000,3.94,30600000.0,7.400e+30
J1001-5939,7.73364026490000,113.000000,3.30,2050000.0,5.100e+30
J1002-5559,0.77750090670000,426.000000,17.42,7840000.0,1.300e+32
J1002-5919,0.71348925350000,347.000000,15.13,109000000.0,1.100e+31
J1003-4747,0.30707169975000,98.100000,3.44,220000.0,3.000e+34
J1006-6311,0.83579746800000,195.990000,9.30,23100000.0,3.900e+31
J1012+5307,0.00525574901412,9.023140,0.70,4860000000.0,4.700e+33
J1012-2337,2.51794502050000,22.510000,1.29,45300000.0,2.200e+30
J1012-5830,2.13359121440000,294.000000,5.34,898000.0,1.500e+32
J1012-5857,0.81991149620000,383.900000,10.14,734000.0,1.300e+33
J1013-5934,0.44290063072900,379.780000,11.32,12600000.0,2.500e+32
J1015-5719,0.13988167759500,278.700000,4.87,38600.0,8.300e+35
J1016-5345,0.76958352720000,66.800000,2.50,6330000.0,1.700e+32
J1016-5819,0.08783415614320,252.100000,4.62,1990000.0,4.100e+34
J1016-5857,0.10738645845880,394.200000,9.31,21000.0,2.600e+36
J1017-5621,0.50345881546000,438.700000,11.78,2550000.0,9.700e+32
J1017-7156,0.00233851444012,94.224070,0.26,16700000000.0,6.900e+33
J1018-1642,1.80469494576800,48.820000,3.27,16400000.0,1.200e+31
J1019-5749,0.16249870999700,1039.400000,30.00,128000.0,1.800e+35
J1020-5921,1.23830534423000,80.000000,2.62,485000.0,8.400e+32
J1020-6026,0.14047991017900,445.000000,29.58,330000.0,9.600e+34
J1021-5601,0.67002629761000,212.000000,4.18,199000000.0,7.000e+30
J1022+1001,0.01645292995420,10.252100,0.74,6020000000.0,3.800e+32
J1022-5813,1.64372600200000,714.000000,30.00,179000.0,1.300e+33
J1023+0038,0.00168798744401,14.325000,1.37,2230000000.0,9.800e+34
J1023-5746,0.11147243434000,,,4600.0,1.100e+37
J1024-0719,0.00516220463952,6.485200,1.10,4410000000.0,5.300e+33
J1028-5819,0.09140323090000,96.525000,2.76,90000.0,8.300e+35
J1031-6117,0.30641083711900,506.800000,30.00,2720000.0,2.400e+33
J1032-5206,2.40762231135000,139.000000,4.33,2130000.0,5.100e+31
J1032-5911,0.46420801000000,418.200000,7.26,2450000.0,1.200e+33
J1034-3224,1.15059042841700,50.750000,4.68,79100000.0,6.000e+30
J1035-6345,0.57957673631800,189.700000,6.54,26200000.0,7.100e+31
J1036-4926,0.51036813310100,136.529000,8.71,4910000.0,4.900e+32
J1036-6559,0.53350188629000,158.360000,7.86,6210000.0,3.500e+32
J1038+0032,0.02885155795131,26.590000,2.36,6820000000.0,1.100e+32
J1038-5831,0.66199209403200,72.740000,2.43,8380000.0,1.700e+32
J1041-1942,1.38636807458800,33.777000,3.18,23200000.0,1.400e+31
J1042-5521,1.17085907700000,306.500000,6.98,2760000.0,1.700e+32
J1043-6116,0.28860169527700,449.200000,18.20,440000.0,1.700e+34
J1044-5737,0.13902889110000,,,40300.0,8.000e+35
J1045-4509,0.00747422422843,58.143800,0.34,6700000000.0,1.700e+33
J1046+0304,0.32627144603500,25.300000,2.25,41600000.0,1.400e+32
J1046-5813,0.36942669620000,240.200000,4.80,5120000.0,9.000e+32
J1047-3032,0.33032805233130,52.540000,4.14,85800000.0,6.700e+31
J1047-6709,0.19845145056270,116.156000,4.67,1860000.0,8.500e+33
J1048-5832,0.12367065788700,129.100000,2.90,20300.0,2.000e+36
J1049-5833,2.20232507700000,446.800000,9.73,7910000.0,1.600e+31
J1050-5953,6.45207660000000,,9.00,2680.0,5.600e+33
J1052-5954,0.18059150069300,491.000000,13.55,143000.0,1.300e+35
J1052-6348,0.38383042353200,167.500000,5.27,15700000.0,2.700e+32
J1054-5943,0.34690895790300,330.700000,6.81,1350000.0,3.900e+33
J1054-5946,0.22832424998200,253.900000,5.81,17300000.0,6.900e+32
J1054-6452,1.84000354140000,234.000000,13.53,9290000.0,2.000e+31
J1055-6022,0.94755840930000,590.000000,25.63,162000.0,4.300e+33
J1055-6028,0.09966083348000,635.900000,30.00,53500.0,1.200e+36
J1055-6236,0.44863544246000,149.700000,3.64,10000000.0,3.100e+32
J1055-6905,2.91939698680000,142.800000,11.91,2270000.0,3.200e+31
J1056-5709,0.67608189374000,436.500000,17.61,18600000.0,7.400e+31
J1056-6258,0.42244718868400,320.300000,2.40,1870000.0,1.900e+33
J1056-7117,0.02630967698240,93.040000,5.27,6620000000.0,1.400e+32
