# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00242,RRc,0.3026277,6000.09828,19.261,18.888,0.372
LMC,OGLE-LMC-RRLYR-00243,RRc,0.3498177,6000.16006,19.386,18.931,0.262
LMC,OGLE-LMC-RRLYR-00244,RRab,0.5540512,6000.44972,19.298,18.804,0.661
LMC,OGLE-LMC-RRLYR-00245,RRab,0.5309557,6000.17299,19.500,18.915,0.577
LMC,OGLE-LMC-RRLYR-00246,RRab,0.6402607,6000.02163,19.423,18.794,0.119
LMC,OGLE-LMC-RRLYR-00247,RRc,0.3877180,6000.20284,19.016,18.524,0.280
LMC,OGLE-LMC-RRLYR-00248,RRab,0.5406411,6000.07892,19.341,18.792,0.689
LMC,OGLE-LMC-RRLYR-00249,RRab,0.4949618,6000.46082,19.635,19.054,0.735
LMC,OGLE-LMC-RRLYR-00251,RRab,0.6743627,6000.31575,19.057,18.471,0.635
LMC,OGLE-LMC-RRLYR-00252,RRc,0.3560680,6000.15159,19.540,18.983,0.270
LMC,OGLE-LMC-RRLYR-00253,RRc,0.2988460,6000.06909,19.448,19.027,0.320
LMC,OGLE-LMC-RRLYR-00254,RRab,0.5120625,6000.26219,19.145,18.598,0.828
LMC,OGLE-LMC-RRLYR-00255,RRc,0.3493794,6000.14455,19.484,18.969,0.304
LMC,OGLE-LMC-RRLYR-00256,RRab,0.5620141,6000.12915,19.457,18.877,0.491
LMC,OGLE-LMC-RRLYR-00257,RRab,0.5380273,6000.05014,19.239,18.761,0.566
LMC,OGLE-LMC-RRLYR-00258,RRab,0.5530398,6000.36521,19.251,18.721,0.771
LMC,OGLE-LMC-RRLYR-00259,RRc,0.3521641,6000.26662,19.246,18.817,0.277
